model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o-mini,Debugger,primary,loc,164,7.420731707317073,5.362886270896606,6.0,4.0,10.0,2.0,32.0
gpt-4o-mini,Debugger,primary,sloc,164,6.902439024390244,4.957759626860862,6.0,3.0,9.0,2.0,30.0
gpt-4o-mini,Debugger,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,Debugger,primary,multi,164,0.08536585365853659,0.7785659227096884,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,Debugger,primary,blank,164,0.4329268292682927,0.7523468195882043,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,Debugger,primary,cc,164,3.426829268292683,1.9630356347216906,3.0,2.0,5.0,1.0,14.0
gpt-4o-mini,Debugger,primary,halstead_volume,164,43.61126869732616,55.2360988954522,27.0,4.754887502163469,59.056429564618675,0.0,396.40516641466866
gpt-4o-mini,Debugger,primary,halstead_difficulty,164,1.9489964148714252,1.7131013695255481,1.5,0.5,3.0804195804195804,0.0,9.0
gpt-4o-mini,Debugger,primary,halstead_effort,164,157.94161967987745,307.1040921985771,42.793987519471216,2.3774437510817346,192.4252212367934,0.0,2506.3036328153244
gpt-4o-mini,AC+Debugger,primary,loc,164,7.359756097560975,5.285571510992483,6.0,4.0,9.0,2.0,32.0
gpt-4o-mini,AC+Debugger,primary,sloc,164,6.865853658536586,4.854350259788683,6.0,3.0,9.0,2.0,30.0
gpt-4o-mini,AC+Debugger,primary,comments,164,0.012195121951219513,0.15617376188860607,0.0,0.0,0.0,0.0,2.0
gpt-4o-mini,AC+Debugger,primary,multi,164,0.08536585365853659,0.7785659227096884,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,AC+Debugger,primary,blank,164,0.39634146341463417,0.7231399022804909,0.0,0.0,1.0,0.0,5.0
gpt-4o-mini,AC+Debugger,primary,cc,164,3.426829268292683,1.9378723884675009,3.0,2.0,5.0,1.0,14.0
gpt-4o-mini,AC+Debugger,primary,halstead_volume,164,50.84132317375717,124.41378151620906,27.0,4.754887502163469,59.794705707972525,0.0,1507.5554358858567
gpt-4o-mini,AC+Debugger,primary,halstead_difficulty,164,1.9612260349096857,1.7543776948174667,1.5,0.5,3.0804195804195804,0.0,8.678571428571429
