model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o,halstead_volume,passing,Debugger,AC+Debugger,R,Single,127,8.0,0.16142946236708322,0.8071473118354161,False,0.5555555555555556,large,0.0,Debugger
gpt-4o,halstead_volume,passing,Debugger,ACT+Debugger,"R,T",Compound,127,672.0,5.44165317618237e-06,7.618314446655318e-05,True,-0.5851851851851851,large,-20.490224995673064,ACT+Debugger
gpt-4o,halstead_volume,passing,AC+Debugger,ACT+Debugger,T,Single,127,659.0,6.759887353657051e-06,8.675874116722712e-05,True,-0.5829113924050633,large,-20.490224995673064,ACT+Debugger
gpt-4o,halstead_difficulty,passing,Basic,AC,R,Single,127,414.0,9.182494504013936e-08,1.1018993404816722e-06,True,-0.7094736842105264,large,-0.8,AC
gpt-4o,halstead_difficulty,passing,Basic,ACT,"R,T",Compound,127,466.0,3.240769930309187e-06,2.9166929372782683e-05,True,-0.6353677621283255,large,-1.0,ACT
gpt-4o,halstead_difficulty,passing,Basic,Debugger,D,Single,127,22.0,0.18200181553631234,0.9100090776815617,False,-0.4358974358974359,moderate,0.0,Debugger
gpt-4o,halstead_difficulty,passing,Basic,AC+Debugger,"R,D",Compound,127,17.0,0.5146697234497355,1.0,False,-0.24444444444444444,small,0.0,AC+Debugger
gpt-4o,halstead_difficulty,passing,Basic,ACT+Debugger,"R,T,D",Compound,127,386.5,2.3896101527597116e-08,3.5844152291395674e-07,True,-0.7358168147641831,large,-0.875,ACT+Debugger
gpt-4o,halstead_difficulty,passing,AC,ACT,T,Single,127,419.0,0.8813762048208957,1.0,False,-0.026713124274099883,negligible,-0.19999999999999996,ACT
gpt-4o,halstead_difficulty,passing,AC,Debugger,R<->D,Swap,127,408.5,3.673297073710167e-07,4.040626781081183e-06,True,0.689117199391172,large,0.8,AC
gpt-4o,halstead_difficulty,passing,AC,AC+Debugger,D,Single,127,427.5,3.816679791877615e-07,4.040626781081183e-06,True,0.6834505738615327,large,0.8,AC
gpt-4o,halstead_difficulty,passing,AC,ACT+Debugger,"T,D",Compound,127,336.0,0.14859501924915203,0.8915701154949122,False,-0.2558139534883721,small,-0.07499999999999996,ACT+Debugger
gpt-4o,halstead_difficulty,passing,ACT,Debugger,"R,T,D",Compound,127,540.0,8.277946812112989e-06,5.7945627684790925e-05,True,0.6001480932987783,large,1.0,ACT
gpt-4o,halstead_difficulty,passing,ACT,AC+Debugger,T<->D,Swap,127,509.0,6.194815692230422e-06,4.9558525537843375e-05,True,0.6126331811263318,large,1.0,ACT
gpt-4o,halstead_difficulty,passing,ACT,ACT+Debugger,D,Single,127,312.0,0.18731192958960163,0.9100090776815617,False,-0.23902439024390243,small,0.125,ACT+Debugger
gpt-4o,halstead_difficulty,passing,Debugger,AC+Debugger,R,Single,127,10.0,0.2626182904425206,0.9100090776815617,False,0.4444444444444444,moderate,0.0,Debugger
gpt-4o,halstead_difficulty,passing,Debugger,ACT+Debugger,"R,T",Compound,127,406.5,7.256259891259198e-08,9.433137858636958e-07,True,-0.7147368421052631,large,-0.875,ACT+Debugger
gpt-4o,halstead_difficulty,passing,AC+Debugger,ACT+Debugger,T,Single,127,379.5,5.414765085479299e-08,7.580671119671019e-07,True,-0.7264864864864865,large,-0.875,ACT+Debugger
